Score,Evaluation
5,很棒的酒店，地理位置非常好。提供免费停车服务，自驾很方便。楼下就是地铁，两站路到陆家嘴。早餐因为人多，所以没吃好…但是看得出东西还是很丰富的。就是可能人多的关系，服务员都是不耐烦的感觉，这点不能理解。房间够大，给的房间可以看到环球金融中心和上海中心。总之是个实惠选择，来上海旅游强烈推荐入住。
5,不错的酒店，性价比很高，交通很方便，靠近地铁2号线，带着小孩去上海旅游，基本上2号线边上的景点玩玩足够了，可以直接到明珠塔，上海海洋水族馆，上海科技馆，小孩子都很感兴趣，对了，酒店结账不用查房，感觉十分大气，五星推荐。
5,大厅挺高大上的，环境不错，服务也好，出行方便，对面就有两个地铁站，可能是酒店出于安全考虑吧，房间里的窗户开不了，再加上房间不是很大，感觉有点闷，总体来说还可以啦
4.8,一如既往的喜欢 不过估计是门口施工的关系 正门口不能上下客了 正好上海阴雨连绵 其实如果再细致一点 门童先生们就应该去你们设置的路障前进行工作 既然不能停车 守在门口有何意义？态度还和上海的温度一样 挺冷的 希望更人性化 提供客人温暖的入住体验
4.8,自己去上课顺便带父母出行 对面就是地铁站很方便 酒店也很不错 干净 虽然有些年头但维护保养地很好 虽然门口在修路 但不影响出行 走到上课地点也很方便
5,一到酒店就感觉十分豪华，前台有世界酒店联盟的标志，还是中国银行批准的货币兑换点，显然是个“狠角色”。 再看原价，草草一算，网上打了3折，还挺划算的。住的是37层，进了房间后只想说三个字：太大了。尤其是卫生间，设施很好，也比较大。拉开窗帘以后，直接看到陆家嘴商业区，你绝对想不到的是：上海第一高楼、“开瓶器”、还有东方明珠，尽收眼底，真心赞一个。
5,虽然是挂牌五星但是只能说一般。首先门童不会问好，第二前台态度一副不耐烦的样子，两点入住和我说一间房都没打扫出来要等40分钟。房间里没多大问题不多说。退房时12点人多也是正常，但是一共只有四个服务员而每个服务员后面至少排6个人，退房足足等了20分钟。不过在陆家嘴你想这个价格住5星这样的服务也认了。
4.8,第二次入住了，比较幽静，干净，服务态度不错
4.8,比较不错的设施，商务入住推荐。
4.8,整体感觉不错，上次去在酒店前台办理的手续，比较贵！这次在携程上的价格便宜啦、房间却是一样的。不知道什么情况？
4.8,不错 但周边还在建筑 出行还可以
4.8,不是第一次入住这个酒店了，硬件没得说的好，但是早餐比以前的差了很多，品种少了很多，希望可以更好哦！
4.3,酒店大堂什么都不错，房间装修和设备都比较陈旧，不是很喜欢，房间不怎么样
5,唯一的缺点就是前台太小，窗户不能开 唯一的优点就是设施硬件好 距离各景点很近
5,酒店位置在金融商圈，房间整洁干净舒适，性价比较高！
5,酒店设施不错 交通也很方便 离东方明珠 科技馆外滩都很近 早餐也很好
5,这个酒店还是不错的，位置好，酒店直接看到外套盘件套，交通也方便，地铁4号线就在楼下，渡口三分钟。儿子很喜欢大浴缸，早餐品种一般
5,性价比很高，地段好，停车方便。 前台服务周到，免费升了行政房，房间比较大，卫生间整洁明亮，床品很舒适，早餐品种丰富，很满意的一次入住。
5,住在37楼，房间很大很宽敞，落地窗前能看见外滩.小朋友的早餐是免费的，总体很满意
5,酒店门口就是地铁站，交通便利，房间的设施也很完备，居住舒适，傍晚窗外很美，有机会还会去！
5,酒店真的很满意，下次还会选择
5,环境、服务、价格都很满意。
5,本来订的大床房后来被告知没有了，后来换了双床房，特意帮我们安排了可以看黄浦江夜景的房间，价钱挺合适，整体不错
5,这价位真心不错，
5,宾馆外观一般 里面内设很漂亮 房间也很干净 很赞！
5,很好的酒店，前台为我们免费升级了套房，房间面对陆家嘴。房间设施还不错，住店停车免费，唯一美中不足早餐菜品较少，但综合来说性价比较高。
5,酒店环境不错，地理位置优越出门有地铁，下次还会入住。
5,五星级酒店服务和设施，性价比之王。
5,环境一流，卫生一流，早餐很棒，服务员态度好，三十二个赞！！！！！
5,酒店设施不错，下次到上海浦东会选择再次入住。
5,地铁就在边上，交通方便，酒店设施不错，安排了间江景房，黄浦江一览无余，赞了！
5,酒店还不错，一出门就是地铁站，还是挺方便的
5,挺好！特别是酒店后面有一家DK餐厅很不错。
5,泳池维护不开放，太可惜。好在房间浴缸小孩能用。早餐人超多，口味还行。硬件和软件都不绰。还会考虑入住。
5,周边建设 泳池装修 总体不错 位置也好 地铁出行方便
5,家庭形式的出来上海玩还是第一次，昨天住在酒店式公寓实在是太差，价格跟今天的差不多，真的是天壤之别啊，环境好，卫生也很干净，住的真是值啊，以后来上海玩还是住这里
5,全5分。将较贵重的小物品遗忘在酒店之后顺利确认并取回。确认过程中除接到过一男性疑似主管打来的口气类似审讯的电话之外，受到了所有女性员工温柔、有礼、尽职尽责的对待，非常感谢。
5,第一：我星期5定的酒店，希望能住大床房！预定的时候都没有选项，只能看到时候酒店情况！坑啊！第二：星期五预定的时候最便宜的带早饭的700，今天入住前查了某宝的价格，才699，携程的价格坑！
4,房间位置不错，可以看到陆家嘴三大神器，出行也很方便，四号线就在路对面。就是早餐性价比不高，儿童半价都要85元，还有就是游泳池这个季节停业整顿真的合适吗？
5,非常干净整洁，五星?????，服务非常好，值得推荐
5,"门口就是地铁站,非常方便.酒店比较现代,干净.给客户订的,窗户对着江景, 他们非常满意."
5,酒店位置很好，对面地铁，交通方便。早餐也不错，酒店内有好几个餐厅，这次时间短，下次要去体验下。酒店有浦江风景，非常好。下次还会再来。
5,餐厅负责夜宵的经理人很好，很照顾。地理位置，客房服务都特别好。
5,毕竟是五星级酒店 设施还是相当不错的 可惜了 黄浦江边在修什么东西 有点吵 前台办理入住手续的速度有点慢 等的蛮长时间 索性房间还是很满意的
5,免费升级了套房，服务非常好，地段也不错，值得推荐
5,同事说很不错，离出差办公地点很近，走路过去大概五分钟不到，环境安静卫生，房间有免费wifi，大床很软，商业区很适合入住的酒店，亲身体会，强烈推荐！强烈推荐！强烈推荐！强烈推荐！强烈推荐！强烈推荐！强烈推荐！强烈推荐
5,非常愉快的旅行体验。酒店免费升级了行政房，无敌江景，卫生、服务、环境俱佳，早餐不错，不过6岁以上儿童需要半价。如有机会下次还会入住。
5,房间可看到江景，视野开阔，门口有在修路不方便。酒店的泳池很适合孩子，人少，温暖很暖和不怕会冷到！孩子游泳很开心！
5,酒店很好床很大，有个大浴缸可以泡澡，以后还会在入住
5,酒店设施很不错。 房间可以看到金茂和环球。视野恨好。游泳池很赞， 早餐也不错
5,房间很干净 酒店装修别具一格 出行还是蛮方便的 会再次入住
5,酒店位置很好，对面就是地铁站，离渡口也很近。出行方便。周围有超市、药店、小馆，方便。入住时给升级到套房，有惊喜。推荐！
5,环境挺好干净，前台接待服务好，停车免费。不错
4.3,酒店门童和叫车服务可不太好，没有开门服务不说，一点都不热情和上心，叫出租只是帮你叫，其他时候都在聊天。房间打扫到还是不错的。
5,总体环境还是不错的、入住时外面在修路、出行有点不方便、早饭178一位价格偏高！
5,房间整体不错，浴缸很大，泡澡舒服且很干净！
5,再次入住，酒店房间一如既往的不错，因为离公司近，以后出差都会选这里，一样价格也不要上涨。
5,住在33层，可以看到江景~~view不错~~自助早餐也不错，总之性价比很高~~
5,酒店交通比较便利，酒店对面就是地铁站。早餐也还不错，品种、口味都还蛮好的。第一次住的时候房间正对黄浦江，夜景很漂亮。
5,床很舒服 设施好 早餐样式多 服务也好
5,酒店环境设施非常满意，早餐也很好。
5,酒店环境还是比较舒适，已经是多次入住了，不错！
4,来住过很多次了，每次出差到上海都住这里，早餐很精致品种不是很多但是味道很好，酒店很安静客人不是很多，性价比也很高，服务也很贴心，是5星级的享受，下次还会来
4,酒店出门就是地铁站 旁边超市很方便 就是个别女员工的素质太差 爱答不理的 办理速度超慢 态度恶劣 而且失误频频 幸好旁边穿红色工装的女员工很负责 否则必将投诉这个黑衣浓妆大脸的女人 退房时的男士速度都蛮快 态度和蔼，夜景还是可以的，门口就是4号线，建议大家坐地铁，出租车太黑了，从东方明珠到酒店开价70，简直是穷疯了，地铁才一站路；前台人员太少，两个柜台根本来不及办理，排长队，退房等了半小时。
4,地理位置较好，服务也可以，打的的话要另外加钱，可能是车少需求多的原因吧。早餐较丰富。进入电梯需要刷卡，可能是安全上的考虑吧，但给客人带来不方便。睡觉床太软，不适应。总体情况还可以。
4,还行，主要位置不太好，周边荒芜啊，前台就2个人，一直排队，不过酒店的硬件条件还是能达到五星的，酒店的早餐不错，停车场也是免费的，性价比不错，600多还是值得入住
4,飯店就在地鐵浦東大道站對面，還蠻方便；只是四號線比較冷門，去外灘，東方明珠或田子坊等著名觀光景點都必須再換車。房間設備很齊全，很棒！ 早餐也好吃，只是服務生收太快太急比較這一點比較不好以外，整體覺得還蠻優的！
4.8,地理位置好不好要看出行目的，浦東來說不錯個人住過幾次都覺得方便。目前門口修路較容易堵車。 硬件全爲高端進口大品牌，戶型設計合理，裝修細節很到位，樓層大廳很舒適，每次入住都覺得立馬放鬆。網絡比較給力偶爾信號不是很好。服務跟國際五星有差距原因是太忙。唯一的問題是房間深夜時候隔音不太好。早餐做的很棒，種類還算豐富。總體而言未達到但接近國際五星。
4.3,浦东大道修路，所以附近有点乱七八糟。酒店本身还是不错的，服务也很好，高层可以看江景，房间隔音也相当不错。
4.5,住的标双，携程上讲三十几个平方，感觉局促。房间的墙纸有一块居然是后补上去的。 入住时赶上接团，柜台等了一会。但是感觉前台比较冷漠，不像5星酒店的水平。 早餐丰富，另外使用了一下健身设施，还算满意。
4.5,卫生没的说。环境主要是因为浦东大道在修路，有一点点小影响。服务不错，尤其早餐时的工作人员。设施方面，就是觉得房间略小了一点。其他都好。总体来说，值得推荐！
4.5,性价比不错，房间比市里的大些，洗澡的水很大，淋浴房也没有容易积水现象，看到评论说沐浴露什么的不错，就偷懒没自带，事实上还是自带比较好，另外早饭巡查的厨师好几个，其实挺挡路的。
4.5,边上在建设，场面有些那个什么你知道的，整体感觉不错，离金融中心很近，走路15分钟就到了，酒店的浴缸很赞，可惜没有一次性的浴缸套子，否则可惜好好的泡个澡
4,酒店位置不错，离东方明珠很近，打车起步价。早餐很丰盛，服务也不错!
4,酒店的床很干净，睡的很舒服。房间也挺隔音的。就是酒店装修比较老了，得翻修下了。还有不足的就是在酒店吃饭要加收15%的服务费。
4,酒店位置不错，旁边有地铁，搭车去东方明珠20元左右
4,环境不错，服务也挺好，遗失的物品退房后马上就寄还给客人，值得肯定。
4,要大床，饭店后给升级了，所以房间还算干净。酒店各个服务岗位上的态度都不好，不是5星级酒店该有服务，在酒店门口上下车无数次，两个门童现在那先聊天也不给开门醉了！前台接电话的口气很强硬，一点也不温柔，不过价格便宜，还可以接受
4,这次住这家没上次好.整体的服务都感觉不太好，是年底了大家都没心做事了吧？最吸引我的早餐这次很失望，早上的东西一次比一次少，也难吃，中餐这次吃的我好郁闷。
4,每次出差到上海都住這，交通方便，飯店安靜，早餐種類沒有以前的多樣，但味道不錯，還蠻乾淨的，服務也不錯。
4,酒店还是性价比很高的 上海这个价位来讲酒店很不错～就是希望酒店把洗漱用品的量再多放一些刮胡刀这样的普遍用品希望提供而不是收费～早餐的品种不是很多～很好的体验谢谢
4.5,入住了行政层，江景房，可以一览黄浦江，行政层的餐厅早餐服务不错，就是内容少了点，只有西餐，不过好在人少安静
4.5,陆家嘴最便宜的五星级酒店，位置有些偏，早餐贵，设施还行
4.5,酒店环境设施没得说，但是周边在修路，显得门口很凌乱。在地铁口的对面，交通还是极其方便了。
4.5,比预期的要理想，房间很正气，设施也挺完善，小孩很开心，就是早餐品种少了点，下次去还是会光顾
4.5,很不错的酒店，高端大气上档次，就是早餐不敢恭维，176一份的早餐，小孩半价，但吃的东西非常普通，还不如附近15一碗的羊肉粉。
4.5,距离地铁很近，交通比较方便，前面在建设地铁，景致不太好，偶尔有噪音，服务的话，前台男士没有微笑。
4.5,服务很好，硬件也非常满意。交通还是很便利的，离地铁站很近，就是边上在修路感觉很乱，有点吵。下次来还会选择裕景。
4.5,酒店非常干净，豪华，确实是五星级酒店的风范。早餐也非常丰盛，值得再次光临。位置交通不太方便，由于道路交通。希望酒店可以安排车辆往返陆家嘴地铁站。
4.5,帮同事预定的酒店，好评！周边吃饭购物都方便
4.5,不错的酒店， 出行也很方便，下次去上海还会入住
4.5,酒店周边很方便，房间也比较舒适。就是早上的自助，热的食物太少了，老人孩子都没怎么吃。
4.5,酒店近地铁很方便，可以望到黄浦江，房间干净，2米的大床够气派。早餐太贵了。
4.8,说个小事，免费早餐的时候，问了两次筷子在哪，随手一指，对不起，我眼瞎真找不到。随后一帮洋大人来用餐，又是引位置又是拉凳子，服务那个叫高大上，当真一等洋人二等国民？去年买了个表
4.8,房间很好，地点也不错就是周围在修路，从四号线出来就能看到，非常棒去外滩打车30左右，就是礼宾部给我门推荐吃饭的地方好远剩下的都还好
4.8,我以前有2次入主这家酒店.其实酒店的位置方便，因为目前在浦东大道修地铁，对这家酒店的交通带来困难和窗外的噪音。酒店的内部设施管理得很好，房间舒适，整洁。盥洗的用品质量上乘，毛巾、睡衣、拖鞋等都感觉好。如果利用地铁4号线，在出行方面也算方便。
4.8,酒店的硬件设施非常棒，入住的房间更是没得说，房间感觉空间非常的大，就是地理位置稍微有点不便利，但是楼下就是地铁，在楼上还能看到陆家嘴全景，非常的美！性价比非常高，值得入住！
4.5,周边环境一般。因为修路的原因。酒店环境卫生干净，硬件设施也很好。值得入住。
4.5,代理价格定了豪华房，后来又升级成了裕景房，实在太棒了！各项设施都不错，服务也还行，停车也很方便，早餐品种还行，偏西式一些！总体很赞！
4.5,景色真心不错，房间很大很整洁，下次还会来哦。
4.5,五星级酒店房间略小，卫生间较大，房型距离江景还是较远
4.5,酒店設施還是不錯，就是單早不滿意！雙人間單早啥意思？一份早餐一百七十也是醉了 西瓜都是壞的！根本不值得啦
4.5,周边环境很好！很方便！房间可以直接看到黄浦江！无敌江景房，晚上坐在窗边欣赏黄浦江的夜景很惬意哦！只是早餐很差劲啊！
4,周边好像在修地铁.不过酒店不错，我们早了一点到大堂，11点多的时候有空房就提前给我们入住啦～
4,位置较好，价格适中，周边在修地铁
4,房间有点老了，安全措施不错，床很舒服，出行很方便，周边在建设，环境一般。
4,"酒店位置不错,健身房很赞,早餐比较丰盛,服务略一般,推荐"
4,环境不错，房间挺干净的，酒店靠近外滩黄浦江边，晚上可以看江景，不错，很喜欢！
4.8,床大舒服，设备全，可看江景。下回来还选这
4.8,设施设施都很不错，干净卫生，洗手间大，晚上拉开窗帘就可看见浦江夜景
4.8,除了设施没及时更新，其他都不错，夜静很不错，特别是前台办入住的小姐好贴心，大大的一个赞哦！下次过来还会继续入住！
4.8,第二次入住了，感觉不错，下次还会选择入住。提个建议，早餐品种退步了，有待加强。
4.8,环境、卫生都挺满意的，交通也很方便。但是早餐欠佳！
4.8,感觉不错哦 酒店浴缸真的爽 圆形的 很大。床垫质量也不错。冰箱啊，保险柜，烫衣板，都有。早餐质量也不错，除了面包太硬，现做的东西很赞哟。
4.8,前台的服务一般。一位男员工不苟言笑。房间还不错啦～view和设施都还行～地段好 性价比较高
4.8,酒店服务很好，设施也较新，位置方便去陆家嘴三大件，总体很满意。就是刚好在入住期间游泳池关闭维护，让女儿没机会游泳。
4.8,酒店很棒，特价时比连锁酒店贵不了多少，档次可是高多了。早餐不错。位置很好。理地铁口很近。
1.5,差评！提前预约好的，一点半到前台办理入住，竟然说房间没打扫，让等四十分钟，等了半小时也没人通知，带着孩子在大堂硬等，14:00去询问，前台小姐说你才等半小时，这是嘛意思？12点就退房，房间难道要等看到客人才打扫房间吗？14:25才给我房卡！这种效率妄称五星级！
3.5,裕景大饭店作为比较老的浦东五星饭店，性价比还是比较高的，如果提早预订会有些优惠的价格。地点：地铁4号线浦东大道站出口和酒店就隔了一条小马路，周围也有不少公交线路，所以出行方便，如果是虹桥过来的旅客，坐地铁的话要在世纪大道转2号线，全程一小时左右。硬件：虽然酒店开业较早，但是保养得不错，房间即使没有很大，但是设施齐全，档次较高，布局合理，隔音也不错，就是中央空调的声音大了些。服务：反而这家酒店的扣分点都在服务上，前台经常挤满了入住和离店的客人，把本来就不大的大堂搞得菜市场一样，不知为何不理顺一下办理制度，合理疏通人流，比如增加快速退房服务，若有房间消费，直接从预授权扣除就是了。服务生态度也不友好，不论是接电话还是当面交流，都没有宾至如归的感觉，在餐厅、前台、礼宾都遇到过不礼貌的现象，不知是否所有上海酒店都是这样一幅高高在上的感觉，令酒店形象大打折扣。入住期间还遇到泳池维护，所以不能使用，有点可惜。
3.5,酒店干净，但不算五星级，房内设施有些保养不够好阿，保险柜坏了，洗澡的地板漏水，最后一天退房竟然还发现门锁原来是坏了。房间可以看到江景，洗手间的设计比较大，这点我喜欢！洗手间内的化妆镜拉到最长，我这个矮个子还是看不到，真心塞！站在门口可以听到隔离房间里面的声音，但回到自己房间里面就听不到隔壁的声音。早餐中规中矩没有太大惊喜，酒店附近不属于旺区，附近在修路，附近没有太多的食肆，人也不多，每次找吃的要去世纪大道站找96广场，这个不太方便。前台人员没有笑容阿！
4.8,周围在修路，不好走，酒店外籍很多，服务还可以吧，没有对外籍好
4.8,环境设施都不错 早饭稍逊色了点
4.5,除了浦东大道在修路不太满意意外，其他都非常满意
4.5,不错
4.5,泳池和按摩池都不错！！值得去一下
4.5,酒店房间不错，卫生间很大，只是退房人较多，需要排队等候。
4.5,也许是修路原因，价格很不错，其他都值得推荐。
4.5,悇了周边环境，应该是个不错的选择
4.5,不错
4.5,很满意的酒店，都很好就是门口修地铁比较乱。
4.5,入住和离店都排队很长时间。
4.5,中规中矩的五星酒店，前面在施工环境不咋滴。还好这个价格比较实惠，下次还会入住。
4.5,很满意，唯一缺点就是门口还在修路
4.5,还可以，适合出差，大堂经理等服务态度差，跟欠他东西似的
4.5,酒店旁边在修路，环境还行，我们住在32楼，可以看到黄浦江。
4.5,门口施工影响了整体周边环境，房间还可以，服务没有特别感觉，还行。但是办理入住和退房感觉比较慢。
4.5,还不错，性价比很高了
4.5,什么都很好，就是赶上下雨，霹雳啪吧打在玻璃墙上感觉很不一样，入住和退房稍微有点慢
4.5,老牌五星酒店 设施该有都有 发快递礼宾部要求收收费运费的15% 餐厅口味很棒
4.5,不错
4.5,酒店非常好，就是周围施工，环境不好。还是不错的
5,从上海站出来比较近，四号线可以直达，我们从虹桥出来转了两条线到，其实也蛮方便的，酒店在陆家嘴的浦东大道对面，1号出口已一出去就是了，服务不错，房间选了江景，夜景还是OK的！最最值得一提的是，酒店早餐真的很赞！
4.3,觉得酒店某些设施比较旧，例如电视。 卫生间很好：整体的照明很温暖而且厕所、淋浴都是单独的小格间。浴缸很舒服几乎每晚都在用。 虽然是一个人来的但是住的是双床，早上自然有双早…酒店早餐虽然种类不多但是个人认为还是很不错的。 地理位置很好，就在陆家嘴，去哪里都非常近。
5,酒店不错，江景房全景可观，房间的卫生间是非常满意，设计很人性化，客房服务很周到，床很舒服。酒店前台办理速度跟不上，办理入住及离店人员太少，需要排很久的队伍，还需要加强。
4.3,整体来说很不错，服务、房间都很不错。在价格方面做特价的时间还是可以接受的，但原价就有点小贵了。早餐170元每位觉得好坑的，可选择的东西很少，热菜的味道很差。对酒店早餐不抱太大要求的人可以选择
5,标准五星级酒店，挑不出毛病，窗外无敌江景啊，没事坐在窗前数江上的轮船，时间会过得很快。开放式的浴盆也好大，泡澡超过瘾啊。就是楼下修路，出行不方便。
5,"酒店环境很好，位置挺好，去机场十分方便,设计合理丶装修得体丶美观大方。店堂布置整诘令人耳目一新，前台服务文明丶礼貌丶热情、快捷。客房设施齐全丶卫生丶环保、整诘、舒适。呵呵。"
5,位置挺好，大床真的很大，2.5米宽，一家三口睡觉实在很舒服宽敞。就是空调不好，不开觉得闷，开了觉得冷。客房服务电话的接线员态度冷淡。早餐马马虎虎。其余OK.
5,携程预订酒店真的很方便，手机当天预订，马上收到确认，当天入住！酒店位置无敌，拉开窗帘，直接看到江面！这对北方人来说，真心赞哟！房间比较大，很干净，服务也还可以。这次预订房费含一份早餐，种类不多，但也方便！以后还会入住!
5,虽然酒店外观不怎么样，裕景房的景致的确无敌，落地窗户直接俯视黄浦江，特别喜欢它的大浴缸，舒适无敌。至于很多人抱怨的服务，我觉得虽然马马虎虎，倒也没让我太反感，两点多钟去办理入住却没有房，等了一个小时，不过前台客客气气给了杯赠饮让我坐着上网，叫客房服务什么的都很快。下次还会入住。
3.3,地铁4号线1号出口出来正对面就是裕景大饭店，交通很方便，出租车去东方明珠塔21元，去淮海中路的muji打车31元，觉得还算方便。早餐也还不错，该有的都有。房间卫生也很好，房间明亮，布局也不错。就是入住第一晚，服务员按错门铃过来送水，我们说我们没叫，然后那个中年服务员就上海脏话骂出来。顿时觉得服务员素质差了......下次应该不会入住了
3.5,酒店地段好 設計也令人喜歡、亮麗不失時尚優雅。06年第一次入住，最近又來了幾次（信價比高）。覺得大廳熱鬧氣氛熱絡（雖外面道路修建中）但多數設施已經明顯老舊、電梯不靈也可略見。這家酒店老化現象太快、應在管理層面多重視提升吧？蠻遺憾的。
5,位置好交通方便，建议前台接待人员业务还需再熟练一些，退房时看错订单强行多收我170元餐费，之后又麻烦多跑一趟去退钱，总体入住体验还是好的！
5,"前台很nice,提的要求都表示会尽量满足，安排的房间在30楼，夜晚窗外灯光汇集，宛若繁星，孩子很喜欢！大上海的夜景真的一点都不比香港差唉，棒棒哒~从东方明珠回来，坐81路两三站而已，下车就是酒店。去科技馆坐地铁两站路，so easy!酒店不错"
5,酒店很赞 住的27层江景房 景色很好 地理位置也很好 去东方明珠附近都只要起步价 酒店对面就是四号线出口 早餐中西都有 选择种类也很多 以后来上海玩还会选择这个酒店 真的很赞 朋友也很喜欢
4.3,第一次下单两天，后取消改一天，到酒店办理入住手续显示还是两天的单而且都已付款，但携程两天的单钱已退给我了。。。。。问携程说是改一天已成功，酒店说是显示两天都已付钱，搞不清楚！
5,非常非常好，大浴缸，大力度的水，舒服的床，干净整洁上档次，住过五星也就如此而而。楼下地铁口1分钟路，超级给力，出租车东方路口即到。此次旅行最佳酒店！
4.3,周边装修 位置稍偏 其它都还不错
5,"地理位置优势,四号线浦东大道出来对面就是, 交通很方便 ,周围有超市, 离八佰伴也很近.帮客人预订，反馈不错。"
5,酒店不错，推荐入住，不过近期周边施工??
5,酒店很好，设施不错，位置也好，可以看到黄浦江，特别是在大浴缸里俯瞰黄浦江的感觉很不错，在网上订房价格也不是很高，性价比非常好，大力推荐大家入住！
5,这家酒店确实不错，周边环境可以，关键是就在地铁口交通太方便了！下次价格合适的话还会入住～
5,入住很多次了，这酒店地理位置很好，4号线地铁站就在边上，早餐也不错，游泳池也可，性价比高，下次还会入住
5,周边在修路，有点吵。老酒店，位置和价格都还不错的。
5,还可以的，离地铁非常近，交通非常方便，离机场也很近！
5,这个酒店还不错，适合商务出差，早餐还不错，挺丰盛的，附件有地铁。离机场也不是太远。整体还算一次不错的差旅住宿。
5,地理位置优越，服务态度好，整体环境配套相当高大上，适合商务出行，推荐！
5,酒店位置好 离地铁口很近 很方便 早餐丰富 前台服务很好 入住时人比较多 没有双床了 前台给免费升了套房 很感谢 房间设施很齐全 视野开阔 景色很美 给满分
5,第一次入住，总体来说比较满意，就是早餐有点欠缺，望改善！
5,非常不错的酒店，就在地铁站旁边，早餐也相当不错
5,不错哦，黄浦江边，晚上可以看看夜景，房间卫生，设施，等还是可以的
4.3,办理入住太慢，其他都不错，酒店的道路在修，不方便出行
5,交通方便，对面就是地铁站，房间设施很新，大堂人来人往较热闹。住了一个月，感觉性价比高，值得推荐入住。
5,环境优雅，房间干净整洁大气，客人入住很满意 。
5,给升了裕景房，浴缸超大，足够小孩游泳，爽
5,酒店很棒，在上海这个价格真的很好。距离地铁站近，东西也很好吃，推荐杏酥鸡。
5,房间挺不错，当天携程预订很划算，酒店早餐也丰富，出差游玩地理位置也不错，楼下就是地铁站，推荐入住
5,非常喜欢 酒店环境设计硬件各方面都不错 喜欢 下次还会选择入住
4.3,酒店总体不错，环境好，位置好。个人感觉稍差的早餐品种少了点，前台电话经常出现无人接听的现象。
4.3,酒店位置很方便，楼下就是地铁4号线，酒店设施有点老，整体性价比比较好，早餐很丰富！
5,酒店很好，早餐还行，江景不错。
4.3,"周围正在修路,但是还是有很多人入住。主动给升级了行政房，能看江景。服务不错，早餐略差。"
5,一如既往，服务到位，入住舒适，虽旁边修路但无大碍。
5,地段很好，现在唯一不足就是市政施工，听说要2018完工，去酒店绕行很大一圈！房间设备设施很好，早餐也不错！
4.8,位置不错，早餐比较丰盛。周边在修路但不吵
4.8,非常不错，性价比超高，到上海中心走路10分钟就到。
4.8,酒店设施良好，服务态度好，房间条件好，视野开阔。门口修路有点影响。
4.8,带父母出来住住酒店。走走滨江大道。早餐不错，服务有点冷漠
4.8,订的大床房，到酒店之后发现没有了，免费升级了一下，变成双床房。房间比较大，洗浴卫生条件好，整体上入住体验比较好，下次来上海出差还会选择入住。
4.8,公司旁边，就是为了方便，携程价格实惠，就是担心票据不能如期寄到，下次还会选择
4.8,房间设施齐全，但小了点。交通很方便。
4.8,设施略老，边上修路中，整体还不错
4.8,一如既往的好，4号线近在咫尺，服务热情周到，早餐品种多。下次还会选择。
4.8,太赞了 免费升了豪华
4.8,酒店性价比较高，离东方明珠和地铁近，高层视野不错，能看到浦东几大高楼。但周边配套一般，吃饭和游玩不太方便，适合商务出差
4.8,不错，这个价格五星的很合适了，能看到江景
4.8,前台小姐服务超好，免费升级房型，性介比高，就是酒店外在修路
4.8,很不错的酒店，性价比高，在上海这样的城市和这样的地段。紧邻地铁4号线。美中不足是最近修路
5,环境，地理，卫生，早餐。都很棒！
5,环境不错，唯一不足前台效率有待提高
5,酒店非常不错，干净，安静，设施便利，推荐大家入住，价格也非常经济实惠，周围便利店非常多，很方便。再次推荐
5,这家酒店挺优惠的，早餐丰盛，房间可以看到陆家嘴方向的夜景。有机会在来入住。
5,不错的酒店，服务和餐饮都不错，房间设施很全，性价比很高，江景也不错，赞！
5,在携程订的酒店，整体还可以，就是早餐品种和洲际的差距还挺大的
5,酒店位置地处浦东大道，可以看到上海环球金融中心，当天入住的的是28层，风景不错，大落地窗，浴缸，夜晚伴着星光入睡，很舒服。
4.3,住过很多次了，虽然位置不是很好但楼下过马路就是地铁，很方便，再就是风景超美
5,非常满意、带家人一起上海旅行的！干净、档次高、关键也方便就在地铁对面.
4.3,地铁出来就是，方便，五星级，早餐不错，可以房间里配套设施不完善，没有小雨衣????????其他都蛮好。
5,酒店设施还行，订的豪华房，说有42平方大，感觉没有那么大，其他一切都不错！
5,位置比较方便， 就是浦东大道修路不好。 交通 有4号地铁。 大堂， 前台的服务很好， 早餐很丰富， 其他餐厅味道也不错。 值得推荐！
5,环境特别好，可以看外景，很舒适，有机会还会再来的
5,酒店位于地铁4号线浦东大道囗，出行方便～，房间也挺大，干净～性价比高，周末特价房送的单早不是很理想～
5,总的来说不错，离东方明珠近，房间可以看到黄浦江，卫生、设施都可以，只是1.4米小朋友的早餐收80多元有点贵。
5,交通方便，门口就是地铁站，打车不太方便，修地铁，都挺好下次还会住，还有无敌夜景
5,酒店不错，位置好找，环境很好，价格挺实惠的，第一次携程订酒店，请问押金和担保费用啥时能退回来啊
4.3,酒店还不错，就是地毯大概是浅色的原因看着有点脏，酒店旁边因为在修路，出租车不太方便，不过地铁、公交等还是很方便的
5,早餐品种齐全
5,挺满意的，干净、出行也方便～
4.3,五一长假人多，办理入住和退房均需等待十五分钟以上，好在前台各个都很麻利。客房服务和地理位置都很不错，值得推荐。
5,服务，环境都挺好！携程预订房价才658，很强大！
5,服务很好 住着舒适最主要的是很方便 门口就是地铁站 离东方明珠 外滩都很近
5,酒店这价钱住陆家嘴也别想太豪华，总体还说的过去，倒是携程处理事情的速度与态度出乎我的意料，赞一个
